;Station Year Month Day Hour Minute Rainfall
379 2004 7 29 5 0 0.000
379 2004 7 29 5 5 0.000
379 2004 7 29 5 10 0.000
379 2004 7 29 5 15 0.000
379 2004 7 29 5 20 0.000
379 2004 7 29 5 25 0.000
379 2004 7 29 5 30 0.000
379 2004 7 29 5 35 0.000
379 2004 7 29 5 40 0.000
379 2004 7 29 5 45 0.000
379 2004 7 29 5 50 0.000
379 2004 7 29 5 55 0.000
379 2004 7 29 6 0 0.000
379 2004 7 29 6 5 0.000
379 2004 7 29 6 10 0.002
379 2004 7 29 6 15 0.002
379 2004 7 29 6 20 0.001
379 2004 7 29 6 25 0.000
379 2004 7 29 6 30 0.000
379 2004 7 29 6 35 0.000
379 2004 7 29 6 40 0.000
379 2004 7 29 6 45 0.000
379 2004 7 29 6 50 0.000
379 2004 7 29 6 55 0.000
379 2004 7 29 7 0 0.000
379 2004 7 29 7 5 0.000
379 2004 7 29 7 10 0.000
379 2004 7 29 7 15 0.000
379 2004 7 29 7 20 0.000
379 2004 7 29 7 25 0.000
379 2004 7 29 7 30 0.000
379 2004 7 29 7 35 0.000
379 2004 7 29 7 40 0.000
379 2004 7 29 7 45 0.000
379 2004 7 29 7 50 0.004
379 2004 7 29 7 55 0.007
379 2004 7 29 8 0 0.020
379 2004 7 29 8 5 0.001
379 2004 7 29 8 10 0.003
379 2004 7 29 8 15 0.000
379 2004 7 29 8 20 0.000
379 2004 7 29 8 25 0.000
379 2004 7 29 8 30 0.000
379 2004 7 29 8 35 0.001
379 2004 7 29 8 40 0.000
379 2004 7 29 8 45 0.000
379 2004 7 29 8 50 0.000
379 2004 7 29 8 55 0.000
379 2004 7 29 9 0 0.000
379 2004 7 29 9 5 0.000
379 2004 7 29 9 10 0.000
379 2004 7 29 9 15 0.000
379 2004 7 29 9 20 0.000
379 2004 7 29 9 25 0.000
379 2004 7 29 9 30 0.000
379 2004 7 29 9 35 0.000
379 2004 7 29 9 40 0.000
379 2004 7 29 9 45 0.000
379 2004 7 29 9 50 0.000
379 2004 7 29 9 55 0.000
379 2004 7 29 10 0 0.000
379 2004 7 29 10 5 0.000
379 2004 7 29 10 10 0.002
379 2004 7 29 10 15 0.002
379 2004 7 29 10 20 0.005
379 2004 7 29 10 25 0.006
379 2004 7 29 10 30 0.005
379 2004 7 29 10 35 0.007
379 2004 7 29 10 40 0.036
379 2004 7 29 10 45 0.016
379 2004 7 29 10 50 0.111
379 2004 7 29 10 55 0.109
379 2004 7 29 11 0 0.191
379 2004 7 29 11 5 0.079
379 2004 7 29 11 10 0.037
379 2004 7 29 11 15 0.005
379 2004 7 29 11 20 0.001
379 2004 7 29 11 25 0.000
379 2004 7 29 11 30 0.000
379 2004 7 29 11 35 0.000
379 2004 7 29 11 40 0.000
379 2004 7 29 11 45 0.000
379 2004 7 29 11 50 0.000
379 2004 7 29 11 55 0.000
379 2004 7 29 12 0 0.000
379 2004 7 29 12 5 0.000
379 2004 7 29 12 10 0.005
379 2004 7 29 12 15 0.002
379 2004 7 29 12 20 0.001
379 2004 7 29 12 25 0.000
379 2004 7 29 12 30 0.000
379 2004 7 29 12 35 0.000
379 2004 7 29 12 40 0.000
379 2004 7 29 12 45 0.000
379 2004 7 29 12 50 0.000
379 2004 7 29 12 55 0.000
379 2004 7 29 13 0 0.000
379 2004 7 29 13 5 0.000
379 2004 7 29 13 10 0.000
379 2004 7 29 13 15 0.000
379 2004 7 29 13 20 0.000
379 2004 7 29 13 25 0.000
379 2004 7 29 13 30 0.000
379 2004 7 29 13 35 0.000
379 2004 7 29 13 40 0.000
379 2004 7 29 13 45 0.000
379 2004 7 29 13 50 0.000
379 2004 7 29 13 55 0.000
379 2004 7 29 14 0 0.000
380 2004 7 29 5 0 0.000
380 2004 7 29 5 5 0.000
380 2004 7 29 5 10 0.000
380 2004 7 29 5 15 0.000
380 2004 7 29 5 20 0.000
380 2004 7 29 5 25 0.000
380 2004 7 29 5 30 0.000
380 2004 7 29 5 35 0.000
380 2004 7 29 5 40 0.000
380 2004 7 29 5 45 0.000
380 2004 7 29 5 50 0.000
380 2004 7 29 5 55 0.000
380 2004 7 29 6 0 0.000
380 2004 7 29 6 5 0.001
380 2004 7 29 6 10 0.000
380 2004 7 29 6 15 0.001
380 2004 7 29 6 20 0.000
380 2004 7 29 6 25 0.000
380 2004 7 29 6 30 0.000
380 2004 7 29 6 35 0.000
380 2004 7 29 6 40 0.000
380 2004 7 29 6 45 0.000
380 2004 7 29 6 50 0.000
380 2004 7 29 6 55 0.000
380 2004 7 29 7 0 0.000
380 2004 7 29 7 5 0.000
380 2004 7 29 7 10 0.000
380 2004 7 29 7 15 0.000
380 2004 7 29 7 20 0.000
380 2004 7 29 7 25 0.000
380 2004 7 29 7 30 0.000
380 2004 7 29 7 35 0.000
380 2004 7 29 7 40 0.001
380 2004 7 29 7 45 0.001
380 2004 7 29 7 50 0.002
380 2004 7 29 7 55 0.006
380 2004 7 29 8 0 0.022
380 2004 7 29 8 5 0.020
380 2004 7 29 8 10 0.001
380 2004 7 29 8 15 0.000
380 2004 7 29 8 20 0.000
380 2004 7 29 8 25 0.000
380 2004 7 29 8 30 0.000
380 2004 7 29 8 35 0.000
380 2004 7 29 8 40 0.000
380 2004 7 29 8 45 0.000
380 2004 7 29 8 50 0.000
380 2004 7 29 8 55 0.000
380 2004 7 29 9 0 0.000
380 2004 7 29 9 5 0.000
380 2004 7 29 9 10 0.000
380 2004 7 29 9 15 0.000
380 2004 7 29 9 20 0.000
380 2004 7 29 9 25 0.000
380 2004 7 29 9 30 0.000
380 2004 7 29 9 35 0.000
380 2004 7 29 9 40 0.000
380 2004 7 29 9 45 0.000
380 2004 7 29 9 50 0.000
380 2004 7 29 9 55 0.000
380 2004 7 29 10 0 0.000
380 2004 7 29 10 5 0.001
380 2004 7 29 10 10 0.019
380 2004 7 29 10 15 0.003
380 2004 7 29 10 20 0.002
380 2004 7 29 10 25 0.004
380 2004 7 29 10 30 0.004
380 2004 7 29 10 35 0.012
380 2004 7 29 10 40 0.003
380 2004 7 29 10 45 0.008
380 2004 7 29 10 50 0.005
380 2004 7 29 10 55 0.051
380 2004 7 29 11 0 0.057
380 2004 7 29 11 5 0.026
380 2004 7 29 11 10 0.011
380 2004 7 29 11 15 0.004
380 2004 7 29 11 20 0.001
380 2004 7 29 11 25 0.000
380 2004 7 29 11 30 0.000
380 2004 7 29 11 35 0.000
380 2004 7 29 11 40 0.000
380 2004 7 29 11 45 0.000
380 2004 7 29 11 50 0.000
380 2004 7 29 11 55 0.000
380 2004 7 29 12 0 0.000
380 2004 7 29 12 5 0.000
380 2004 7 29 12 10 0.000
380 2004 7 29 12 15 0.001
380 2004 7 29 12 20 0.000
380 2004 7 29 12 25 0.000
380 2004 7 29 12 30 0.000
380 2004 7 29 12 35 0.000
380 2004 7 29 12 40 0.000
380 2004 7 29 12 45 0.000
380 2004 7 29 12 50 0.000
380 2004 7 29 12 55 0.000
380 2004 7 29 13 0 0.000
380 2004 7 29 13 5 0.000
380 2004 7 29 13 10 0.000
380 2004 7 29 13 15 0.000
380 2004 7 29 13 20 0.000
380 2004 7 29 13 25 0.000
380 2004 7 29 13 30 0.000
380 2004 7 29 13 35 0.000
380 2004 7 29 13 40 0.000
380 2004 7 29 13 45 0.000
380 2004 7 29 13 50 0.000
380 2004 7 29 13 55 0.000
380 2004 7 29 14 0 0.000
381 2004 7 29 5 0 0.000
381 2004 7 29 5 5 0.000
381 2004 7 29 5 10 0.000
381 2004 7 29 5 15 0.000
381 2004 7 29 5 20 0.000
381 2004 7 29 5 25 0.000
381 2004 7 29 5 30 0.000
381 2004 7 29 5 35 0.000
381 2004 7 29 5 40 0.000
