

*********************************************
* Binary File Comparison Statistics Section *
*********************************************

   Flog.file                                                D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\Hydrology\10_Subs_Pond.inp.log
   FoutCompare.file                                         D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\v12\10_Subs_Pond.out
   Fout.file                                                D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\v13\10_Subs_Pond.out

   Fout.file Version                                        51013
   Fout.file MagicNumber                                    516114522
   Fout.file Flow units                                     0
   Fout.file Report Step                                    1800
   Fout.file Nperiods                                       11648
   Fout.file Starting file position of ID names             28
   Fout.file Starting file position of input data           259
   Fout.file Starting file position of output data          779
   Fout.file number of bytes per time period                764
   Fout.file Number of subcatchment output variables        8
   Fout.file Number of node output variables                6
   Fout.file Number of link output variables                5
   Fout.file Number of subcatchments reported on            10
   Fout.file Number of nodes reported on                    9
   Fout.file Number of links reported on                    8
   Fout.file Number of pollutants reported on               0

   FoutCompare.file Version                                 51011
   FoutCompare.file MagicNumber                             516114522
   FoutCompare.file Flow units                              0
   FoutCompare.file Nperiods                                11648
   FoutCompare.file Starting file position of ID names      28
   FoutCompare.file Starting file position of input data    259
   FoutCompare.file Starting file position of output data   779
   FoutCompare.file number of bytes per time period         764
   FoutCompare.file Number of subcatchment output variables 8
   FoutCompare.file Number of node output variables         6
   FoutCompare.file Number of link output variables         5
   FoutCompare.file Number of subcatchments reported on     10
   FoutCompare.file Number of nodes reported on             9
   FoutCompare.file Number of links reported on             8
   FoutCompare.file Number of pollutants reported on        0

***********************************************
*Subcatchment Runoff Statistics Comparisons   *
***********************************************
  Subcatchment ID                    Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  SC394                                0.1405     0.1405     0.0000     0.0000     0.0000     0.0254     0.0254     1.0000     0.0000     0.0000     0.0000     0.0000
  SC390                                0.3316     0.3316     0.0000     0.0000     0.0000     0.0550     0.0550     1.0000     0.0000     0.0000     0.0000     0.0000
  SC382-386                            0.4112     0.4112     0.0000     0.0000     0.0000     0.0675     0.0675     1.0000     0.0000     0.0000     0.0000     0.0000
  SC370-366                            0.0308     0.0308     0.0000     0.0000     0.0000     0.0013     0.0013     1.0000     0.0000     0.0000     0.0000     0.0000
  SC378-374                            0.1228     0.1228     0.0000     0.0000     0.0000     0.0230     0.0230     1.0000     0.0000     0.0000     0.0000     0.0000
  SC362                                0.0898     0.0898     0.0000     0.0000     0.0000     0.0165     0.0165     1.0000     0.0000     0.0000     0.0000     0.0000
  SC346                                0.1698     0.1698     0.0000     0.0000     0.0000     0.0286     0.0286     1.0000     0.0000     0.0000     0.0000     0.0000
  SC350                                0.1445     0.1445     0.0000     0.0000     0.0000     0.0256     0.0256     1.0000     0.0000     0.0000     0.0000     0.0000
  SC354                                0.1261     0.1261     0.0000     0.0000     0.0000     0.0232     0.0232     1.0000     0.0000     0.0000     0.0000     0.0000
  SC358                                0.3377     0.3377     0.0000     0.0000     0.0000     0.0571     0.0571     1.0000     0.0000     0.0000     0.0000     0.0000

************************************
*Node Depth Statistics Comparisons *
************************************
  Node ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  15                                  0.0145     0.0144     0.0030     0.0002     0.0000     0.0009     0.0009     0.9991     0.0000     0.0000     0.0000     0.0000
  18                                  0.1775     0.1764     0.0141     0.0017     0.0000     0.0050     0.0049     0.9993     0.0000     0.0000     0.0000     0.0000
  19                                  0.0057     0.0056     0.0017     0.0001     0.0000     0.0004     0.0004     0.9983     0.0000     0.0000     0.0000     0.0000
  20                                  0.0132     0.0131     0.0033     0.0002     0.0000     0.0008     0.0008     0.9985     0.0000     0.0000     0.0000     0.0000
  21                                  0.0329     0.0327     0.0065     0.0007     0.0000     0.0017     0.0017     0.9987     0.0000     0.0000     0.0000     0.0000
  23                                  0.0567     0.0567     0.0040     0.0003     0.0000     0.0017     0.0017     0.9995     0.0000     0.0000     0.0000     0.0000
  24                                  0.0595     0.0594     0.0063     0.0005     0.0000     0.0020     0.0020     0.9991     0.0000     0.0000     0.0000     0.0000
  22                                  0.0507     0.0503     0.0058     0.0006     0.0000     0.0020     0.0020     0.9992     0.0000     0.0000     0.0000     0.0000
  DetPond                             0.2662     0.2666     0.0042     0.0007     0.0000     0.0027     0.0027     0.9998     0.0000     0.0000     0.0000     0.0000

*******************************************
*Node Lateral Flow Statistics Comparisons *
*******************************************
  Node ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  15                                   0.1430     0.1422     0.1023     0.0040     0.0000     0.0253     0.0251     0.9986     0.0000     0.0000     0.0000     0.0000
  18                                   0.0917     0.0914     0.0533     0.0020     0.0000     0.0164     0.0164     0.9991     0.0000     0.0000     0.0000     0.0000
  19                                   0.3403     0.3388     0.1709     0.0076     0.0000     0.0567     0.0562     0.9992     0.0000     0.0000     0.0000     0.0000
  20                                   0.1286     0.1279     0.0903     0.0035     0.0000     0.0230     0.0229     0.9987     0.0000     0.0000     0.0000     0.0000
  21                                   0.1473     0.1467     0.0823     0.0033     0.0000     0.0255     0.0254     0.9991     0.0000     0.0000     0.0000     0.0000
  23                                   0.3351     0.3337     0.1626     0.0075     0.0000     0.0547     0.0543     0.9992     0.0000     0.0000     0.0000     0.0000
  24                                   0.1751     0.1744     0.0924     0.0035     0.0000     0.0235     0.0233     0.9987     0.0000     0.0000     0.0000     0.0000
  22                                   0.1726     0.1719     0.0874     0.0039     0.0000     0.0285     0.0282     0.9992     0.0000     0.0000     0.0000     0.0000
  DetPond                              0.4149     0.4125     0.2317     0.0103     0.0000     0.0670     0.0664     0.9990     0.0000     0.0000     0.0000     0.0000

*****************************************
*Node Total Flow Statistics Comparisons *
*****************************************
  Node ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  15                                  0.1430     0.1429     0.1128     0.0048     0.0000     0.0253     0.0251     0.9983     0.0000     0.0000     0.0000     0.0000
  18                                  1.6724     1.6518     1.1566     0.0509     0.0001     0.2131     0.2082     0.9974     0.0000     0.0000     0.0000     0.0000
  19                                  0.3403     0.3393     0.1852     0.0087     0.0000     0.0567     0.0561     0.9991     0.0000     0.0000     0.0000     0.0000
  20                                  0.4626     0.4627     0.2881     0.0132     0.0000     0.0770     0.0764     0.9988     0.0000     0.0000     0.0000     0.0000
  21                                  0.5883     0.5852     0.5103     0.0239     0.0000     0.0926     0.0912     0.9973     0.0000     0.0000     0.0000     0.0000
  23                                  0.8781     0.8746     1.4286     0.0556     0.0001     0.1210     0.1180     0.9874     0.0000     0.0000     0.0000     0.0000
  24                                  1.0311     1.0248     1.0304     0.0437     0.0001     0.1385     0.1357     0.9951     0.0000     0.0000     0.0000     0.0000
  22                                  1.8080     1.7703     1.0266     0.0511     0.0001     0.2046     0.1978     0.9977     0.0000     0.0000     0.0000     0.0000
  DetPond                             0.4266     0.4224     0.3610     0.0143     0.0000     0.0689     0.0675     0.9975     0.0000     0.0000     0.0000     0.0000

************************************
*Link Flow Statistics  Comparisons *
************************************
  Link ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  R120                                 1.6353     1.5980     1.0354     0.0504     0.0001     0.1898     0.1835     0.9973     0.0000     0.0000     0.0000     0.0000
  R1670                                0.9952     0.9799     0.7170     0.0320     0.0001     0.1190     0.1162     0.9967     0.0000     0.0000     0.0000     0.0000
  R560                                 0.3341     0.3341     0.2330     0.0106     0.0000     0.0546     0.0541     0.9984     0.0000     0.0000     0.0000     0.0000
  R570                                 0.4410     0.4378     0.4519     0.0216     0.0000     0.0681     0.0671     0.9961     0.0000     0.0000     0.0000     0.0000
  R110                                 0.5855     0.5801     0.5475     0.0259     0.0000     0.0885     0.0871     0.9966     0.0000     0.0000     0.0000     0.0000
  R2040                                0.8560     0.8498     0.9958     0.0414     0.0001     0.1171     0.1146     0.9935     0.0000     0.0000     0.0000     0.0000
  R160                                 0.1397     0.1381     0.1389     0.0060     0.0000     0.0238     0.0232     0.9969     0.0000     0.0000     0.0000     0.0000
  FCOutlet                             0.3916     0.3927     1.3358     0.0501     0.0001     0.0490     0.0471     0.9310     0.0000     0.0000     0.0000     0.0000

*************************************
*Link Depth Statistics  Comparisons *
*************************************
  Link ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  R120                                 0.1141     0.1135     0.0095     0.0012     0.0000     0.0035     0.0034     0.9993     0.0000     0.0000     0.0000     0.0000
  R1670                                0.1185     0.1179     0.0095     0.0010     0.0000     0.0035     0.0034     0.9993     0.0000     0.0000     0.0000     0.0000
  R560                                 0.0095     0.0094     0.0021     0.0002     0.0000     0.0006     0.0006     0.9989     0.0000     0.0000     0.0000     0.0000
  R570                                 0.0231     0.0229     0.0047     0.0005     0.0000     0.0012     0.0012     0.9987     0.0000     0.0000     0.0000     0.0000
  R110                                 0.1052     0.1046     0.0093     0.0010     0.0000     0.0033     0.0032     0.9993     0.0000     0.0000     0.0000     0.0000
  R2040                                0.0581     0.0581     0.0046     0.0004     0.0000     0.0018     0.0018     0.9994     0.0000     0.0000     0.0000     0.0000
  R160                                 0.0356     0.0355     0.0034     0.0003     0.0000     0.0013     0.0013     0.9994     0.0000     0.0000     0.0000     0.0000
  FCOutlet                             0.2669     0.2673     0.0044     0.0007     0.0000     0.0027     0.0027     0.9998     0.0000     0.0000     0.0000     0.0000
